1.109,0.508,-0.098
1.395,0.938,-0.086
1.949,1.941,-0.129
2.609,3.559,-0.121
2.863,5.141,-0.105
2.402,5.473,-0.137
1.754,4.547,-0.094
1.289,3.32,-0.059
0.93,2.281,0.082
0.617,1.668,0.234
0.34,1.52,0.25
0.133,1.605,0.152
-0.016,1.59,0.051
-0.094,1.352,0.023
-0.102,0.961,0.078
-0.086,0.637,0.164
-0.086,0.457,0.227
-0.141,0.398,0.219
-0.23,0.445,0.176
-0.328,0.508,0.152
-0.441,0.52,0.121
-0.555,0.504,0.102
-0.66,0.543,0.098
-0.77,0.641,0.094
-0.844,0.816,0.074
-0.875,0.996,0.035
-0.852,1.133,0.027
-0.785,1.203,0.012
-0.699,1.211,-0.023
-0.617,1.207,-0.09
-0.539,1.215,-0.199
-0.496,1.301,-0.328
-0.5,1.531,-0.449
-0.5,1.84,-0.543
-0.484,2.039,-0.633
-0.48,2.133,-0.742
-0.492,2.215,-0.824
-0.461,2.258,-0.875
-0.383,2.234,-0.918
-0.313,2.176,-0.949
-0.301,2.102,-0.945
-0.305,1.957,-0.918
-0.293,1.797,-0.867
-0.285,1.621,-0.781
-0.277,1.457,-0.672
-0.266,1.27,-0.574
-0.242,1.082,-0.488
-0.195,0.914,-0.402
-0.113,0.719,-0.32
-0.004,0.551,-0.246
0.098,0.41,-0.137
0.188,0.313,-0.059
0.262,0.277,-0.043
0.301,0.316,-0.086
0.332,0.418,-0.145
0.332,0.02,-0.035
0.367,-0.359,0.125
0.316,-0.426,0.266
0.219,-0.125,0.258
0.148,0.227,0.137
0.098,0.348,-0.023
0.023,0.355,-0.094
-0.07,0.266,-0.086
-0.152,0.23,0
-0.23,0.25,0.125
-0.375,0.348,0.215
-0.668,0.453,0.215
-0.992,0.563,0.125
-1.145,0.75,-0.031
-1.137,0.961,-0.152
-1.184,1.086,-0.156
-1.246,1.133,-0.051
-1.219,1.199,0.035
-1.246,1.207,0.102
-1.301,1.141,0.074
-1.32,1.051,0.027
-1.277,0.996,-0.004
-1.27,0.887,-0.016
-1.293,0.758,-0.016
-1.27,0.703,-0.008
-1.199,0.676,0.031
-1.078,0.719,0.043
-0.977,0.785,0.02
-0.879,0.797,0.035
-0.777,0.75,0.043
-0.699,0.645,0.02
-0.68,0.449,-0.102
-0.695,0.145,-0.215
-0.676,-0.219,-0.184
-0.621,-0.523,-0.066
-0.512,-0.629,0
-0.406,-0.547,0.02
-0.289,-0.395,-0.035
-0.199,-0.277,-0.082
-0.148,-0.188,-0.09
-0.203,-0.133,-0.113
-0.41,-0.148,-0.066
-0.703,-0.254,0.039
-1.07,-0.348,0.133
-1.309,-0.355,0.285
-1.109,-0.332,0.332
-0.852,-0.078,0.156
-0.973,0.234,-0.113
-1.238,0.414,-0.273
-1.402,0.496,-0.246
-1.516,0.598,-0.156
-1.652,0.723,-0.039
-1.762,0.789,0.102
-1.832,0.785,0.223
-1.852,0.738,0.227
-1.777,0.805,0.168
-1.629,0.871,0.117
-1.434,0.879,0.133
-1.211,0.855,0.137
-0.996,0.797,0.117
-0.832,0.699,0.121
-0.68,0.691,0.117
-0.547,0.77,0.141
-0.438,0.883,0.066
-0.379,0.945,-0.133
-0.379,0.906,-0.285
-0.355,0.773,-0.336
-0.328,0.633,-0.297
-0.258,0.578,-0.207
-0.16,0.543,-0.148
-0.09,0.531,-0.121
-0.039,0.547,-0.113
-0.035,0.539,-0.105
-0.07,0.48,-0.047
-0.129,0.305,-0.02
-0.203,0.168,0.211
-0.371,0.012,0.383
-0.602,-0.063,0.402
-0.711,0.02,0.449
-0.711,0.055,0.527
-0.746,0.031,0.563
-0.871,0.141,0.504
-0.988,0.348,0.43
-1.02,0.52,0.465
-1.031,0.637,0.57
-1.047,0.719,0.672
-1.07,0.867,0.746
-1.09,0.938,0.715
-1.055,1,0.684
-0.973,1.012,0.617
-0.875,1.012,0.457
-0.809,0.984,0.168
-0.758,0.875,0.02
-0.707,0.688,-0.023
-0.652,0.535,0.09
-0.59,0.383,0.199
-0.555,0.273,0.23
-0.52,0.16,0.164
-0.516,-0.004,0.039
-0.527,-0.191,-0.098
-0.555,-0.34,-0.215
-0.586,-0.41,-0.305
-0.602,-0.43,-0.371
-0.578,-0.43,-0.383
-0.539,-0.406,-0.34
-0.516,-0.363,-0.254
-0.488,-0.309,-0.148
-0.469,-0.23,-0.055
-0.461,-0.078,-0.004
-0.52,0.16,-0.012
-0.684,0.43,-0.117
-1,0.746,-0.293
-1.395,1.07,-0.418
-1.543,1.32,-0.496
-1.402,1.586,-0.645
-1.234,2.035,-0.742
-1.129,2.5,-0.789
-1.02,2.879,-0.766
-0.871,3.113,-0.664
-0.715,3.148,-0.48
-0.586,2.957,-0.25
-0.488,2.695,-0.051
-0.449,2.48,0.023
-0.449,2.195,-0.035
-0.43,1.801,-0.125
-0.383,1.344,-0.184
-0.32,0.898,-0.176
-0.238,0.473,-0.137
-0.168,0.059,-0.047
-0.105,-0.316,0.043
-0.043,-0.547,0.051
0.031,-0.656,-0.047
0.109,-0.715,-0.156
0.211,-0.742,-0.203
0.305,-0.711,-0.191
0.367,-0.629,-0.191
0.414,-0.531,-0.195
0.445,-0.445,-0.211
0.492,-0.379,-0.219
0.551,-0.297,-0.215
0.617,-0.203,-0.188
0.648,-0.145,-0.086
0.633,-0.117,0.055
0.574,-0.133,0.168
0.594,-0.063,0.242
0.785,0.293,0.258
1.18,0.828,0.148
1.633,1.414,-0.094
2.145,2.457,-0.285
2.516,3.719,-0.289
2.359,4.422,-0.188
1.828,4.266,-0.02
1.309,3.57,0.039
0.926,2.785,0.027
0.621,2.203,-0.012
0.383,1.871,-0.035
0.207,1.691,-0.066
0.082,1.539,-0.059
-0.012,1.32,-0.031
-0.09,1.039,-0.008
-0.176,0.77,0
-0.285,0.566,-0.008
-0.398,0.469,-0.035
-0.504,0.445,-0.066
-0.633,0.41,-0.125
-0.75,0.375,-0.176
-0.816,0.383,-0.215
-0.887,0.453,-0.219
-0.973,0.531,-0.188
-0.992,0.684,-0.156
-0.934,0.891,-0.164
-0.848,1.086,-0.195
-0.773,1.207,-0.246
-0.695,1.238,-0.297
-0.605,1.234,-0.344
-0.563,1.27,-0.441
-0.566,1.453,-0.566
-0.578,1.754,-0.688
-0.547,2.051,-0.809
-0.496,2.258,-0.926
-0.461,2.402,-0.992
-0.43,2.473,-1.047
-0.348,2.398,-1.078
-0.215,2.285,-1.082
-0.109,2.172,-1.043
-0.105,2.035,-1.008
-0.129,1.875,-0.996
-0.164,1.727,-0.969
-0.207,1.563,-0.926
-0.242,1.414,-0.852
-0.266,1.273,-0.758
-0.262,1.102,-0.672
-0.238,0.879,-0.598
-0.211,0.66,-0.508
-0.195,0.508,-0.391
-0.176,0.426,-0.25
-0.129,0.406,-0.086
-0.086,0.41,0.027
-0.102,0.438,0.063
-0.168,0.484,0.102
-0.25,0.344,0.273
-0.293,0.125,0.441
-0.359,0.176,0.539
-0.414,0.32,0.527
-0.438,0.434,0.426
-0.477,0.297,0.254
-0.426,0.273,0.145
-0.23,0.25,0.652
-0.23,0.574,0.508
-0.543,0.918,0.098
-0.723,1.059,-0.105
-0.766,0.875,-0.121
-0.758,0.676,-0.07
-0.836,0.645,-0.094
-0.938,0.633,-0.137
-0.961,0.707,-0.176
-0.973,0.844,-0.184
-0.973,0.938,-0.199
-0.945,0.781,-0.125
-0.871,0.496,0.063
-0.797,0.305,0.242
-0.75,0.191,0.309
-0.727,0.074,0.301
-0.719,-0.031,0.285
-0.703,-0.188,0.262
-0.691,-0.355,0.234
-0.648,-0.465,0.25
-0.598,-0.555,0.277
-0.539,-0.629,0.309
-0.465,-0.668,0.348
-0.391,-0.688,0.375
-0.328,-0.723,0.387
-0.285,-0.742,0.414
-0.23,-0.691,0.441
-0.176,-0.566,0.418
-0.133,-0.434,0.34
-0.117,-0.383,0.211
-0.16,-0.375,0.066
-0.246,-0.344,0.012
-0.328,-0.297,0.047
-0.406,-0.258,0.125
-0.469,-0.211,0.238
-0.535,-0.16,0.352
-0.672,-0.117,0.426
-0.895,-0.074,0.398
-1.18,-0.016,0.34
-1.316,-0.012,0.359
-1.336,-0.086,0.441
-1.414,-0.164,0.543
-1.531,-0.16,0.625
-1.594,-0.113,0.719
-1.59,-0.117,0.793
-1.621,-0.145,0.809
-1.648,-0.137,0.777
-1.633,-0.129,0.73
-1.609,-0.129,0.676
-1.566,-0.148,0.645
-1.457,-0.172,0.641
-1.289,-0.18,0.648
-1.113,-0.172,0.656
-0.949,-0.133,0.637
-0.809,-0.082,0.598
-0.699,-0.039,0.516
-0.629,-0.02,0.418
-0.586,-0.016,0.316
-0.566,0.008,0.219
-0.52,0.02,0.184
-0.465,0.02,0.168
-0.406,0.039,0.152
-0.332,0.09,0.145
-0.262,0.176,0.129
-0.215,0.238,0.109
-0.199,0.258,0.063
-0.203,0.277,0.012
-0.254,0.301,-0.008
-0.309,0.313,0.02
-0.348,0.266,0.117
-0.449,0.184,0.211
-0.648,0.141,0.25
-0.891,0.117,0.258
-1.074,0.105,0.301
-1.242,0.121,0.363
-1.48,0.246,0.469
-1.684,0.438,0.621
-1.746,0.578,0.77
-1.77,0.578,0.879
-1.809,0.504,0.91
-1.832,0.418,0.938
-1.781,0.324,0.957
-1.703,0.258,0.93
-1.641,0.277,0.887
-1.535,0.336,0.852
-1.41,0.367,0.844
-1.285,0.371,0.848
-1.156,0.371,0.828
-1.051,0.293,0.797
-0.934,0.105,0.777
-0.77,-0.039,0.777
-0.641,-0.133,0.75
-0.566,-0.129,0.625
-0.547,-0.059,0.52
-0.504,0.012,0.539
-0.52,0.094,0.398
-0.57,0.082,0.266
-0.559,0.105,0.18
-0.566,0.148,0.051
-0.598,0.164,-0.039
-0.617,0.109,-0.035
-0.621,0.164,-0.027
-0.621,0.367,-0.012
-0.625,0.527,0.043
-0.613,0.531,0.137
-0.625,0.34,0.195
-0.668,0.078,0.215
-0.742,-0.043,0.152
-0.863,0.008,0.008
-0.992,0.09,-0.086
-1.066,0.098,-0.043
-1.074,0.02,0.129
-1.117,-0.152,0.43
-1.172,-0.328,0.801
-1.148,-0.457,1.055
-1.039,-0.477,1.004
-0.977,-0.453,0.785
-0.98,-0.402,0.59
-0.969,-0.32,0.523
-0.906,-0.207,0.508
-0.828,-0.137,0.488
-0.727,-0.18,0.496
-0.594,-0.188,0.445
-0.508,-0.121,0.344
-0.469,-0.012,0.234
-0.453,0.129,0.156
-0.422,0.23,0.086
-0.359,0.254,0.078
-0.281,0.211,0.141
-0.203,0.172,0.211
-0.164,0.148,0.262
-0.168,0.152,0.266
-0.203,0.172,0.258
-0.25,0.184,0.25
-0.27,0.18,0.266
-0.273,0.18,0.344
-0.242,0.145,0.477
-0.266,0.121,0.602
-0.402,0.16,0.711
-0.613,0.227,0.809
-0.836,0.219,0.945
-0.984,0.148,1.051
-1.117,0.156,1.094
